"iso","name","fao_treecover_deforest__ha","fao_reforestation__ha","fao_expansion__ha","year"
"THA","Thailand",37600,8450,0,"2015-2020"
"TLS","Timor-Leste","","","","2015-2020"
"TGO","Togo",4960,"",2000,"2015-2020"
"TKL","Tokelau",0,0,0,"2015-2020"
"TON","Tonga","","","","2015-2020"
"TTO","Trinidad and Tobago","","","","2015-2020"
"TUN","Tunisia",570,1400,2100,"2015-2020"
"TKM","Turkmenistan","","","","2015-2020"
"TCA","Turks and Caicos Islands","","","","2015-2020"
"TUV","Tuvalu","","","","2015-2020"
"TUR","Türkiye",1170,118820,119180,"2015-2020"
"UGA","Uganda",51090,"",9840,"2015-2020"
"UKR","Ukraine",100,36400,6700,"2015-2020"
"ARE","United Arab Emirates","","","","2015-2020"
"GBR","United Kingdom of Great Britain and Northern Ireland","",15000,"","2015-2020"
"TZA","United Republic of Tanzania",474000,27000,5000,"2015-2020"
"VIR","United States Virgin Islands","","","","2015-2020"
"USA","United States of America","",690870,"","2015-2020"
"URY","Uruguay","",55540,"","2015-2020"
"UZB","Uzbekistan",14150,1.0E+5,42200,"2015-2020"
"VUT","Vanuatu","","","","2015-2020"
"VEN","Venezuela (Bolivarian Republic of)",108290,3660,17870,"2015-2020"
"VNM","Viet Nam",1590,241300,117840,"2015-2020"
"WLF","Wallis and Futuna Islands","","","","2015-2020"
"ESH","Western Sahara","","","","2015-2020"
"YEM","Yemen","","","","2015-2020"
"ZMB","Zambia",189710,3500,1500,"2015-2020"
"ZWE","Zimbabwe",46070,"",0,"2015-2020"
